temperatura,humedad,presion,viento,direccion_viento,visibilidad,precipitacion,descripcion,tipo_nubes,timestamp,runway_heading,viento_cruzado,viento_frente,rafagas,techo_nubes,turbulencia,estado_pista,altitud_aeropuerto,altitud_densidad,punto_rocio,riesgo_hielo,tormenta_electrica,cizalladura_viento,hora,mes,dia_año,es_noche,riesgo,source
18.2,60,1011,6.5,78,8377,0.6,nublado,dispersas,,135,5.5,3.5,9.1,2022,ninguna,seca,500,1004.0,5.8,False,False,False,4,2,54,True,BAJO,synthetic
22.6,66,1016,20.0,238,8990,1.6,nublado,dispersas,,45,4.5,-19.5,26.0,3504,leve,humeda,1000,2152.0,13.7,False,False,False,19,8,226,False,BAJO,synthetic
19.1,31,1011,16.8,3,9451,0.0,despejado,despejado,,270,16.8,-0.9,20.2,5655,leve,seca,500,1112.0,8.4,False,False,False,0,8,212,True,BAJO,synthetic
17.4,93,998,34.5,23,2669,23.5,tormenta,cubierto,,90,31.8,13.5,41.4,422,severa,mojada,500,908.0,16.3,False,True,False,20,1,4,False,ALTO,synthetic
15.6,78,1020,30.1,301,3300,12.3,granizo,cubierto,,90,15.5,-25.8,39.1,1539,severa,mojada,0,72.0,11.9,False,True,False,20,7,191,False,ALTO,synthetic
29.1,27,1020,8.9,77,8318,0.0,despejado,despejado,,180,8.7,-2.0,12.5,13859,leve,seca,1000,2932.0,21.5,False,False,False,7,2,36,False,BAJO,synthetic
18.0,58,1004,7.4,29,7221,0.9,nublado,nublado,,45,2.0,7.1,8.1,2163,ninguna,humeda,500,980.0,11.7,False,False,False,10,1,16,False,BAJO,synthetic
-6.9,78,1008,29.0,154,1863,12.1,nieve,cubierto,,270,26.1,-12.7,34.8,1002,moderada,contaminada,2500,472.0,-9.7,False,False,False,3,12,357,True,ALTO,synthetic
17.7,74,1014,37.6,166,1588,10.7,granizo,cubierto,,45,32.2,-19.4,41.4,1937,severa,contaminada,1000,1564.0,13.4,False,True,False,1,7,192,True,ALTO,synthetic
22.3,53,1010,23.0,59,8585,1.2,nublado,dispersas,,0,19.7,11.8,32.2,2794,ninguna,seca,2500,3976.0,15.5,False,False,False,11,6,155,False,BAJO,synthetic
16.79,74,1012,5.58,237,10000,0.43333333333333335,rain,cubierto,2026-02-05 21:00:00,130,5.3,-1.6,7.3,1000,ninguna,mojada,8361,10582.0,11.6,False,False,False,20,2,35,False,BAJO,real_forecast
19.9,45,1019,12.4,327,8183,0.0,despejado,despejado,,315,2.6,12.1,13.6,10992,ninguna,seca,500,1208.0,14.1,False,False,False,3,4,111,True,BAJO,synthetic
6.0,96,1016,9.8,146,2214,1.2,niebla,cubierto,,270,8.1,-5.5,14.7,398,ninguna,mojada,500,-460.0,4.8,True,False,False,8,12,361,False,MODERADO,synthetic
10.5,93,1001,25.3,88,1482,23.4,lluvia_fuerte,cubierto,,0,25.3,0.9,35.4,731,severa,mojada,0,-540.0,10.2,False,False,False,4,4,118,True,ALTO,synthetic
23.5,68,1009,7.8,31,6272,0.1,nublado,nublado,,135,7.6,-1.9,8.6,1630,ninguna,seca,2000,3500.0,14.5,False,False,False,3,12,344,True,BAJO,synthetic
18.5,53,1020,24.2,111,6886,0.4,nublado,dispersas,,180,22.6,8.7,33.9,2718,leve,humeda,2000,2900.0,4.5,False,False,False,9,6,173,False,MODERADO,synthetic
21.9,78,1012,14.2,20,5677,5.2,lluvia_ligera,nublado,,90,13.3,4.9,19.9,2403,leve,mojada,0,828.0,18.7,False,False,False,2,10,277,True,MODERADO,synthetic
12.8,99,998,32.5,52,2085,26.3,tormenta,cubierto,,90,20.0,25.6,48.8,978,severa,contaminada,500,356.0,12.6,False,True,False,21,12,336,True,ALTO,synthetic
20.8,50,1017,15.1,87,8434,0.0,despejado,despejado,,135,11.2,10.1,21.1,9058,leve,seca,1000,1936.0,15.4,False,False,False,2,1,19,True,BAJO,synthetic
25.1,55,1016,24.5,74,8827,1.4,nublado,nublado,,180,23.6,-6.8,31.9,3642,leve,seca,500,1832.0,13.7,False,False,False,11,3,63,False,MODERADO,synthetic
8.1,98,1013,1.6,341,1738,1.2,niebla,cubierto,,45,1.4,0.7,2.4,616,ninguna,humeda,2500,2272.0,6.7,True,False,False,4,12,363,True,MODERADO,synthetic
6.5,93,1005,10.1,173,1872,0.4,niebla,cubierto,,45,8.0,-6.2,14.1,160,ninguna,mojada,500,-400.0,5.2,True,False,False,13,9,260,False,MODERADO,synthetic
15.4,73,1016,13.1,208,7320,0.1,nublado,dispersas,,225,3.8,12.5,14.4,1539,leve,humeda,0,48.0,12.2,False,False,False,3,4,97,True,BAJO,synthetic
13.9,94,1000,1.1,227,988,1.6,niebla,cubierto,,90,0.8,-0.8,1.7,688,ninguna,mojada,0,-132.0,13.4,False,False,False,17,7,200,False,MODERADO,synthetic
12.5,58,1001,12.0,11,7295,1.9,nublado,nublado,,135,9.9,-6.7,14.4,3636,leve,seca,1000,940.0,2.2,False,False,False,4,2,52,True,BAJO,synthetic
17.2,77,1014,15.4,285,4120,6.2,lluvia_ligera,nublado,,90,4.0,-14.9,21.6,1522,moderada,humeda,500,884.0,12.7,False,False,False,20,7,192,False,MODERADO,synthetic
13.2,100,1002,2.4,186,2450,0.4,niebla,cubierto,,315,1.9,-1.5,3.1,796,ninguna,humeda,2500,2884.0,12.4,False,False,False,5,1,14,True,MODERADO,synthetic
23.8,37,1013,4.3,196,8222,0.0,despejado,despejado,,225,2.1,3.8,5.6,14235,ninguna,seca,500,1676.0,13.8,False,False,False,14,8,239,False,BAJO,synthetic
9.8,96,987,27.6,53,2243,24.7,lluvia_fuerte,cubierto,,135,27.3,3.8,38.6,1280,moderada,mojada,2000,1856.0,8.3,True,True,False,3,11,328,True,ALTO,synthetic
