temperatura,humedad,viento,visibilidad,descripcion,precipitacion,direccion_viento,runway_heading,viento_cruzado,viento_frente,rafagas,techo_nubes,tipo_nubes,turbulencia,estado_pista,presion,altitud_aeropuerto,altitud_densidad,punto_rocio,riesgo_hielo,tormenta_electrica,cizalladura_viento,hora,es_noche,mes,dia_año,riesgo
19.6,72,36.4,3096,granizo,18.1,13,45,19.3,30.9,47.3,1838,cubierto,severa,contaminada,1000,2000,3032.0,17.5,False,True,False,1,True,2,43,Peligro
27.2,43,16.7,9964,despejado,0.0,106,315,8.1,-14.6,23.4,5630,despejado,leve,seca,1015,2500,4564.0,12.6,False,False,False,3,True,9,256,Seguro
8.9,96,3.7,2385,niebla,1.0,74,45,1.8,3.2,5.2,458,cubierto,ninguna,humeda,1002,0,-732.0,7.5,True,False,False,2,True,7,200,Precaución
30.1,50,2.3,8915,despejado,0.0,341,315,1.0,2.1,2.5,14642,despejado,leve,seca,1018,0,1812.0,24.9,False,False,False,20,False,5,135,Seguro
9.8,100,40.1,1843,tormenta,26.2,78,180,39.2,-8.3,56.1,856,cubierto,moderada,mojada,988,500,-4.0,9.3,True,True,True,3,True,3,65,Peligro
18.7,74,18.7,6730,lluvia_ligera,7.2,115,135,6.4,17.6,28.0,1054,nublado,leve,humeda,1016,1000,1684.0,14.2,False,False,False,8,False,4,101,Seguro
11.1,99,38.4,854,tormenta,20.7,88,270,1.3,-38.4,42.2,359,cubierto,severa,mojada,993,2000,2012.0,10.0,False,True,False,8,False,10,293,Peligro
27.5,25,20.0,9542,despejado,0.0,27,45,6.2,19.0,24.0,9580,despejado,leve,seca,1015,2000,3980.0,21.5,False,False,False,18,False,3,86,Seguro
21.8,62,8.4,6376,nublado,0.6,353,225,6.6,-5.2,11.8,3483,dispersas,leve,humeda,1013,500,1436.0,8.4,False,False,False,6,False,8,227,Seguro
16.4,94,7.1,1530,niebla,0.8,121,90,3.7,6.1,8.5,506,cubierto,ninguna,humeda,1019,500,788.0,15.9,False,False,False,21,True,12,354,Precaución
23.1,54,16.9,6631,nublado,2.0,100,90,2.9,16.6,23.7,1644,nublado,ninguna,seca,1007,1000,2212.0,10.7,False,False,False,4,True,4,114,Seguro
32.0,36,16.0,8640,despejado,0.0,48,90,10.7,11.9,17.6,11979,despejado,ninguna,seca,1014,500,2660.0,23.7,False,False,False,14,False,11,319,Seguro
14.1,86,32.5,4466,granizo,29.8,131,180,24.5,21.3,45.5,605,cubierto,severa,contaminada,1017,500,512.0,9.6,False,True,False,7,False,5,128,Peligro
20.5,90,31.6,4750,granizo,13.2,178,270,31.6,-1.1,44.2,1643,cubierto,severa,contaminada,1002,1000,1900.0,17.4,False,True,False,17,False,4,117,Peligro
29.1,32,6.7,8066,despejado,0.0,93,135,4.5,5.0,9.4,6251,despejado,ninguna,seca,1024,0,1692.0,17.6,False,False,False,9,False,5,147,Seguro
21.7,50,12.0,6495,nublado,0.3,135,225,12.0,0.0,14.4,1764,dispersas,ninguna,humeda,1004,1000,2044.0,10.4,False,False,False,16,False,10,287,Seguro
17.6,90,43.0,3566,lluvia_fuerte,15.6,127,225,42.6,-6.0,60.2,842,cubierto,severa,contaminada,997,2000,2792.0,14.7,False,False,False,16,False,7,196,Peligro
19.1,68,8.5,6743,nublado,1.4,177,0,0.4,-8.5,10.2,2327,dispersas,leve,humeda,1015,2000,2972.0,9.4,False,False,False,11,False,7,191,Seguro
15.3,91,29.9,3896,lluvia_fuerte,19.7,304,270,16.7,24.8,35.9,1172,cubierto,moderada,mojada,992,2000,2516.0,15.1,False,False,False,23,True,12,340,Peligro
16.0,100,28.6,2761,lluvia_fuerte,15.2,325,270,23.4,16.4,34.3,1090,cubierto,severa,mojada,988,2500,3220.0,15.7,False,False,False,4,True,3,64,Peligro
15.8,98,21.0,1037,lluvia_fuerte,19.5,256,0,20.4,-5.1,25.2,1002,cubierto,severa,contaminada,990,2500,3196.0,15.3,False,False,True,12,False,10,271,Peligro
17.1,72,12.2,5118,lluvia_ligera,2.3,41,270,9.2,-8.0,13.4,1145,cubierto,leve,mojada,1011,2500,3352.0,12.4,False,False,False,13,False,5,126,Seguro
25.8,35,18.0,8664,despejado,0.0,252,45,8.2,-16.0,25.2,6755,despejado,ninguna,seca,1029,0,1296.0,11.9,False,False,False,3,True,2,43,Seguro
15.9,80,26.1,3570,lluvia_ligera,6.1,43,45,0.9,26.1,33.9,1208,cubierto,leve,mojada,1020,2000,2588.0,12.3,False,False,False,12,False,8,224,Precaución
2.0,84,19.3,2543,nieve,7.5,71,225,8.5,-17.3,23.2,1512,cubierto,leve,nevada,1003,1000,-320.0,-0.8,True,False,False,19,False,9,242,Precaución
24.6,57,7.0,6292,nublado,0.7,345,135,3.5,-6.1,8.4,3736,dispersas,leve,seca,1008,500,1772.0,12.5,False,False,False,4,True,10,279,Seguro
23.6,60,12.8,8374,nublado,1.2,287,45,11.3,-6.0,14.1,3340,dispersas,leve,seca,1013,2000,3512.0,10.4,False,False,False,14,False,11,311,Seguro
-2.6,85,18.7,3611,nieve,8.2,34,45,3.6,18.4,22.4,1711,cubierto,leve,contaminada,1017,1000,-872.0,-6.9,False,False,False,3,True,12,352,Precaución
25.8,61,21.0,8180,nublado,0.0,33,135,20.5,-4.4,25.2,2872,dispersas,leve,humeda,1014,500,1916.0,16.7,False,False,False,15,False,2,40,Precaución
13.6,80,45.8,4865,granizo,16.7,317,315,1.6,45.8,64.1,984,cubierto,severa,mojada,1020,2000,2312.0,9.9,False,True,False,2,True,2,32,Peligro
26.3,62,18.7,7270,nublado,0.7,204,135,17.5,6.7,26.2,3141,nublado,leve,humeda,1013,2000,3836.0,17.3,False,False,False,8,False,9,247,Seguro
14.0,99,10.8,785,niebla,1.4,12,225,5.9,-9.1,14.0,219,cubierto,ninguna,mojada,1007,2000,2360.0,13.3,False,False,False,10,False,1,29,Peligro
14.5,100,2.2,1274,niebla,0.7,93,0,2.2,-0.1,3.3,733,cubierto,ninguna,mojada,1003,2000,2420.0,13.7,False,False,False,11,False,9,243,Precaución
8.6,97,1.3,1265,niebla,0.0,316,45,1.3,0.0,1.7,784,cubierto,ninguna,humeda,1008,2000,1712.0,7.0,False,False,False,10,False,3,81,Precaución
32.6,45,1.3,8544,despejado,0.0,111,135,0.5,1.2,1.7,7062,despejado,ninguna,seca,1018,2000,4592.0,19.6,False,False,False,5,True,3,81,Seguro
14.5,85,28.8,4091,lluvia_ligera,3.7,38,45,3.5,28.6,37.4,2121,cubierto,moderada,mojada,1018,0,-60.0,11.4,False,False,False,22,True,11,326,Precaución
24.2,56,24.5,8893,nublado,0.8,291,270,8.8,22.9,29.4,2685,dispersas,ninguna,seca,1004,2500,4204.0,11.7,False,False,False,4,True,10,285,Seguro
34.6,29,19.4,8222,despejado,0.0,234,135,19.2,-3.0,29.1,11043,despejado,ninguna,seca,1013,500,2972.0,25.9,False,False,False,4,True,12,336,Seguro
25.5,56,22.8,7184,nublado,1.7,147,45,22.3,-4.7,27.4,3709,dispersas,ninguna,humeda,1001,0,1260.0,12.0,False,False,False,10,False,8,216,Precaución
27.6,45,18.7,9008,despejado,0.0,334,315,6.1,17.7,24.3,9676,despejado,leve,seca,1027,2500,4612.0,16.4,False,False,False,2,True,4,119,Seguro
15.8,29,5.6,8313,despejado,0.0,339,225,5.1,-2.3,7.3,14559,despejado,leve,seca,1010,1000,1336.0,10.1,False,False,False,20,False,10,297,Seguro
24.3,51,17.6,9744,despejado,0.0,279,90,2.8,-17.4,21.1,10812,despejado,leve,seca,1026,1000,2356.0,12.3,False,False,False,22,True,8,226,Seguro
17.4,99,7.4,1973,niebla,1.8,81,315,6.0,-4.3,9.6,536,cubierto,ninguna,mojada,1007,1000,1528.0,15.9,False,False,False,16,False,9,249,Precaución
-0.4,79,32.1,3682,nieve,6.5,189,0,5.0,-31.7,41.7,1402,cubierto,moderada,contaminada,1007,1000,-608.0,-2.7,False,False,True,21,True,7,189,Peligro
29.7,35,17.4,9264,despejado,0.0,298,315,5.1,16.6,24.4,6153,despejado,ninguna,seca,1020,0,1764.0,18.6,False,False,False,1,True,12,361,Seguro
11.7,93,11.2,2063,niebla,0.5,197,0,3.3,-10.7,13.4,144,cubierto,ninguna,mojada,1015,1000,844.0,10.1,False,False,False,22,True,3,74,Precaución
15.2,74,18.8,5648,lluvia_ligera,6.1,167,135,10.0,15.9,20.7,2253,nublado,moderada,humeda,1017,2000,2504.0,12.9,False,False,False,22,True,5,128,Seguro
-2.5,85,10.4,3100,nieve,18.6,107,90,3.0,9.9,14.6,1708,cubierto,leve,nevada,1013,500,-1480.0,-7.2,False,False,False,11,False,2,37,Precaución
20.5,74,22.7,6048,lluvia_ligera,5.2,202,90,21.0,-8.5,27.2,1091,cubierto,leve,humeda,1011,2500,3760.0,18.5,False,False,False,16,False,5,145,Precaución
14.0,73,13.2,6418,lluvia_ligera,6.3,258,180,12.9,2.7,17.2,2054,cubierto,leve,mojada,1001,2000,2360.0,9.9,False,False,False,3,True,4,91,Precaución
12.3,99,4.2,1989,niebla,0.4,317,270,3.1,2.9,5.9,622,cubierto,ninguna,humeda,1002,2500,2776.0,10.4,False,False,False,8,False,7,186,Precaución
25.8,55,7.8,9509,despejado,0.0,251,180,7.4,2.5,10.9,13544,despejado,leve,seca,1017,2500,4396.0,10.9,False,False,False,1,True,9,259,Seguro
22.2,74,17.1,6852,nublado,0.4,89,225,11.9,-12.3,20.5,3698,nublado,ninguna,seca,1011,1000,2104.0,19.0,False,False,False,21,True,1,21,Seguro
22.1,28,16.4,8980,despejado,0.0,318,180,11.0,-12.2,23.0,6533,despejado,leve,seca,1017,500,1472.0,9.2,False,False,False,7,False,4,119,Seguro
16.8,89,43.0,2407,lluvia_fuerte,24.1,347,90,41.9,-9.7,55.9,1436,cubierto,severa,contaminada,995,2500,3316.0,11.9,False,True,False,19,False,2,51,Peligro
28.0,41,2.2,9296,despejado,0.0,169,135,1.2,1.8,2.4,11503,despejado,ninguna,seca,1025,500,2180.0,19.0,False,False,False,9,False,12,363,Seguro
16.9,72,41.8,2065,granizo,19.8,49,270,27.4,-31.5,50.2,1288,cubierto,severa,mojada,1019,2500,3328.0,13.7,False,True,False,4,True,8,224,Peligro
32.4,52,14.7,9496,despejado,0.0,32,225,3.3,-14.3,17.6,12511,despejado,leve,seca,1023,500,2708.0,22.5,False,False,False,10,False,5,146,Seguro
23.9,50,11.9,6943,nublado,0.3,282,315,6.5,10.0,13.1,2940,nublado,ninguna,seca,1006,500,1688.0,17.4,False,False,False,1,True,12,331,Seguro
24.5,61,18.2,7236,nublado,0.5,26,45,5.9,17.2,27.3,2037,dispersas,leve,seca,1019,2500,4240.0,9.6,False,False,False,8,False,5,131,Seguro
33.5,28,17.9,8171,despejado,0.0,253,225,8.4,15.8,26.8,7736,despejado,leve,seca,1012,0,2220.0,27.0,False,False,False,3,True,10,292,Seguro
0.5,77,11.6,2851,nieve,10.9,12,0,2.4,11.3,16.2,1887,cubierto,leve,nevada,1008,2500,1360.0,-4.4,False,False,False,1,True,6,166,Precaución
21.0,50,14.8,9932,despejado,0.0,327,315,3.1,14.5,20.7,14196,despejado,leve,seca,1020,0,720.0,15.4,False,False,False,5,True,7,182,Seguro
3.7,84,11.4,3060,nieve,12.8,1,315,8.2,7.9,13.7,1383,cubierto,leve,contaminada,1010,2000,1124.0,-0.5,False,False,False,7,False,7,203,Precaución
13.3,98,8.2,2227,niebla,1.1,133,270,5.6,-6.0,10.7,128,cubierto,ninguna,humeda,1008,0,-204.0,13.1,False,False,False,13,False,6,177,Precaución
